소방서,119안전센터명,주소,경도(longitude),위도(latitude),전화번호
중부,중앙119안전센터,부산광역시 중구 중앙대로 110(중앙동4가),129.036764,35.107048,051-760-6111
중부,부민119안전센터,부산광역시 서구 임시수도기념로 21-4(부민동3가),129.018604,35.103267,051-760-6121
중부,충무119안전센터,부산광역시 서구 충무대로 186(남부민동),129.0247642,35.0871211,051-760-6131
중부,창선119안전센터,부산광역시 중구 대청로 68-1(부평동1가),129.0273403,35.1028733,051-760-6141
중부,초량119안전센터,부산광역시 동구 중앙대로 260번길 7(초량동),129.043136,35.1198006,051-760-6151
부산진,부전119안전센터,부산광역시 부산진구 서전로 43(전포동),129.0645999,35.1579737,051-760-6211
부산진,범일119안전센터,부산광역시 동구 범일로 115(범일동),129.0590185,35.1403455,051-760-6221
부산진,수정119안전센터,부산광역시 동구 중앙대로 383-1(수정동),129.0491985,35.1296186,051-760-6231
부산진,가야119안전센터,부산광역시 부산진구 가야대로 627(가야동),129.040383,35.1556938,051-760-6241
부산진,부암119안전센터,부산광역시 부산진구 신천대로 282(부암동),129.0506998,35.1668872,051-760-6251
부산진,당감119안전센터,부산광역시 부산진구 백양산로53번길 65(당감동),129.028538,35.171735,051-760-6261
부산진,안창119안전센터,부산광역시 동구 안창로 62(범일동),129.0417575,35.1460283,051-760-6271
동래,연산119안전센터,부산광역시 연제구 고분로 216(연산동),129.1052425,35.1843589,051-760-6311
동래,수안119안전센터,부산광역시 동래구 명륜로45번길 7(수안동),129.0838402,35.1982045,051-760-6321
동래,온천119안전센터,부산광역시 동래구 우장춘로 196(온천동),129.0776201,35.223291,051-760-6331
동래,양정119안전센터,부산광역시 부산진구 연수로 44(양정동),129.0767437,35.1748729,051-760-6341
동래,사직119안전센터,부산광역시 동래구 체육공원로 74(사직동),129.059671,35.1940315,051-760-6351
북부,삼락119안전센터,부산광역시 사상구 삼덕로 17(삼락동),128.9787247,35.1745036,051-760-6411
북부,감전119안전센터,부산광역시 사상구 가야대로 41(감전동),128.9774326,35.1518742,051-760-6421
북부,구포119안전센터,부산광역시 북구 만덕대로 31(덕천동),129.008375,35.211101,051-760-6431
북부,화명119안전센터,부산광역시 북구 금곡대로 184(화명동),129.0103129,35.2253006,051-760-6451
북부,주례119안전센터,부산광역시 사상구 양지로 22번길 7(주례동),129.004143,35.1538922,051-760-6461
북부,모라119안전센터,부산광역시 사상구 백양대로 950(모라동),128.9922615,35.1909878,051-760-6471
북부,학장119안전센터,부산광역시 사상구 학감대로 89(학장동),128.990469,35.1397049,051-760-6481
북부,금곡119안전센터,부산광역시 북구 금곡대로616번길 151(금곡동),129.0176596,35.2673007,051-760-6491
북부,만덕119안전센터,부산광역시 북구 함박봉로 142(만덕동),129.0333125,35.2048169,051-760-6441
사하,신평119안전센터,부산광역시 사하구 장평로 270(신평동),128.9733626,35.0901046,051-760-6512
사하,괴정119안전센터,부산광역시 사하구 낙동대로 262(괴정동),128.9883496,35.099402,051-760-6522
사하,하단119안전센터,부산광역시 사하구 낙동남로 1407(하단동),128.9655805,35.1065226,051-760-6532
사하,다대119안전센터,부산광역시 사하구 다대로 622(다대동),128.970369,35.0511759,051-760-6542
사하,감천119안전센터,부산광역시 사하구 원양로 405(감천동),129.0047788,35.0863216,051-760-6552
해운대,우동119안전센터,부산광역시 해운대구 해운대해변로 106(우동),129.1437952,35.1595047,051-760-6611
해운대,중동119안전센터,부산광역시 해운대구 달맞이길 117번길 72(중동),129.1758378,35.1606451,051-760-6621
해운대,반여119안전센터,부산광역시 해운대구 선수촌로 21번길 64(반여동),129.1177222,35.1975604,051-760-6631
해운대,센텀119안전센터,부산광역시 해운대구 센텀동로 50(우동),129.1307773,35.1737252,051-760-6651
해운대,좌동119안전센터,부산광역시 해운대구 대천로67번길 35(좌동),129.1664404,35.1736652,051-760-6641
해운대,반송119안전센터,부산광역시 해운대구 아랫반송로 10(반송동),129.1469763,35.2254164,051-760-6661
금정,부곡119안전센터,부산광역시 금정구 중앙대로 1789(부곡동),129.0928171,35.2441773,051-760-6711
금정,서동119안전센터,부산광역시 동래구 반송로 331(명장동),129.1033326,35.208992,051-760-6721
금정,남산119안전센터,부산광역시 금정구 두실로 46(남산동),129.0868634,35.261403,051-760-6731
금정,산성119안전센터,부산광역시 금정구 산성로 396(금성동),129.0509467,35.2510813,051-760-6751
남부,광안119안전센터,부산광역시 수영구 광일로 64(광안동),129.1070111,35.1631198,051-760-6811
남부,감만119안전센터,부산광역시 남구 우암로 81(감만동),129.0805263,35.1177408,051-760-6821
남부,대연119안전센터,부산광역시 남구 수영로 279(대연동),129.0970212,35.1362191,051-760-6831
남부,망미119안전센터,부산광역시 수영구 연수로 330(망미동),129.1064964,35.1718226,051-760-6841
남부,용당119안전센터,부산광역시 남구 신선로 398(용당동),129.0986293,35.1206781,051-760-6851
강서,녹산119안전센터,부산광역시 강서구 녹산산단361로 9(송정동),128.8567499,35.0897074,051-760-6011
강서,신호119안전센터,부산광역시 강서구 신호산단4로 62(신호동),128.8795491,35.0855244,051-760-6021
강서,대저119안전센터,부산광역시 강서구 대저로221번길 25(대저1동),128.9768484,35.2157589,051-760-6031
강서,강동119안전센터,부산광역시 강서구 제도로 696(강동동),128.9160532,35.1747933,051-760-6041
강서,지사119안전센터,부산광역시 강서구 과학산단로333번길 3(지사동),128.8332146,35.1486191,051-760-6051
기장,정관119안전센터,부산광역시 기장군 정관읍 용수로 7(정관읍),129.1799686,35.3248634,051-760-5411
기장,기장119안전센터,부산광역시 기장군 기장읍 차성동로5번길 16(기장읍),129.2154671,35.2385381,051-760-5421
기장,송정119안전센터,부산광역시 해운대구 송정중앙로15번길 16(송정동),129.2030222,35.1838802,051-760-5431
기장,장안119안전센터,부산광역시 기장군 장안읍 길천3길 11(길천리),129.2873353,35.3277946,051-760-5441
항만,동삼119안전센터,부산광역시 영도구 해양로 297(동삼동),129.0767709,35.081763,051-760-6911
항만,영선119안전센터,부산광역시 영도구 태종로 115(영선동1가),129.0433209,35.0910873,051-760-6921
항만,부두119안전센터,부산광역시 동구 충장대로 286(좌천동),129.0522394,35.1257429,051-760-6931
항만,청학119안전센터,부산광역시 영도구 태종로 274(청학동),129.0565274,35.0981886,051-760-6941
